epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,96550.9,1.10665,1.02408,1.13741,0.70822,0.54026,0.60507,0.43014,1.0724,0.88574,1.0991,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,97890.7,1.10303,1.02006,1.13448,0.70962,0.53977,0.60593,0.4304,1.07166,0.88436,1.09847,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,99277.4,1.103,1.01924,1.13435,0.69874,0.54295,0.60608,0.43195,1.07162,0.88408,1.09809,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,100492,1.10038,1.01388,1.13255,0.70716,0.54364,0.60769,0.43309,1.07095,0.88287,1.09749,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,101684,1.09516,1.00644,1.12983,0.70382,0.54552,0.60817,0.43353,1.07012,0.88171,1.09663,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,103049,1.09542,1.00843,1.13106,0.71036,0.54402,0.60928,0.43466,1.06935,0.88144,1.09605,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,104778,1.09397,1.00184,1.12843,0.71236,0.54665,0.60914,0.43473,1.06798,0.88131,1.0952,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,105988,1.08931,0.99813,1.12752,0.72384,0.54046,0.60993,0.43661,1.06736,0.88035,1.09489,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,107292,1.08728,0.99363,1.12463,0.72617,0.53804,0.61038,0.43621,1.06727,0.87912,1.09485,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,108512,1.08552,0.98825,1.12337,0.71939,0.54545,0.61079,0.43695,1.0666,0.87823,1.09443,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
